Model,R2_mean,R2_std,RMSE_mean,MAE_mean
ExtraTrees,0.8438230379169154,0.009864171372896465,0.460896291797812,0.31246485930995427
RandomForest,0.8344450001397814,0.009984481869436517,0.4745420934812337,0.3146510508179327
GradientBoosting,0.832096337553625,0.008900073502020475,0.4779682439100653,0.3282755373828078
HGB,0.8300786815504353,0.010845923075937123,0.48073544838547394,0.32477005226429173
KNeighbors,0.8148856624109356,0.0059111383908589015,0.5019460579655014,0.3288276744826725
Ridge,0.7056419187857367,0.00860730638146778,0.6330328173488988,0.4573740034628354
LinearRegression,0.7056347269796579,0.008578143361409636,0.6330408849229463,0.457391248837468
ElasticNet,0.6941328311899477,0.010003309364932956,0.6452724983728342,0.46469607351637104
Lasso,0.6912761770494555,0.011305695525219985,0.6482521572490052,0.4671890770994554
